Date_time,city,state/province,country,UFO_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
06-01-1910 15:00,wills point,tx,us,cigar,120,2 minutes,Cigar shaped object moving from West to East,04/16/2005,32.7091667,-96.0080556
06-11-1920 21:00,cicero,in,us,unknown,60,1 minute,((NUFORC Note:  Probable hoax.  Note date.  PD))  Strange gathering of objects in the sky.,05/12/2009,40.1238889,-86.0133333
07-05-1929 14:00,buchanan  (or burns),or,us,disk,60,1min,we were traveling east of burns&#44clmbing up thru a cut in the rim rocks when this object very slowely flew over the top of us&#44 some 50 f,08/16/2002,43.6425,-118.6275
06-01-1931 13:00,abilene,ks,us,disk,1800,30 min. approx.,This is a what my mother related to me regarding an experience my grandparents had.  They did not tell anyone for 20 or more years beca,02/14/2006,38.9172222,-97.2136111
06-01-1939 20:00,waterloo,al,us,fireball,300,5 minutes,4 high school students see bright&#44 ground-level&#44 slow moving fireball in the late 1930&#39s,02/21/2014,34.9180556,-88.0641667
07-07-1939 02:00,keokuk,ia,us,oval,600,10 minutes,Mother sees UFO above railroad tracks in 1939.,09/02/2005,40.3972222,-91.3847222
06-01-1941 13:00,ludington (hamlin lake),mi,us,disk,30,30 seconds,As a boy some 60 plus years ago I saw a round silver disc in the sky when I looked up from playing with ant hills.,10/07/2003,43.9552778,-86.4525
06-01-1942 22:30,hapeville,ga,us,unknown,180,2-3 min,bright object approchjng Venus&#44 1940&#39s,08/07/2007,33.66,-84.4102778
01-01-1944 12:00,san diego,ca,us,cigar,180,3 minutes,A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east,07/25/2004,32.7152778,-117.1563889
06-01-1944 12:00,los alamos,nm,us,disk,3600,1+ hour,Disk hovers over Los Alamos during the development of the atomic bombs; pursued by planes.,05/12/2009,35.8880556,-106.3063889
04-02-1944 11:00,clovis,nm,us,disk,90,01:30,Saw UFO in 1944 over an airbase in New Mexico&#44 not very far from&#44 Roswell.,04/16/2005,34.4047222,-103.2047222
06-01-1945 13:30,jasper,fl,us,fireball,300,5minute,I belived it would be to our best Intrest to check this out .,11/21/2010,30.5180556,-82.9483333
06-07-1945 07:00,winston-salem,nc,us,disk,2,seconds,I always thought this sighting should be on an official list&#44 now&#44 60 yrs. later&#44 it is.,09/02/2005,36.0997222,-80.2444444
08-08-1945 12:00,huntington beach,ca,us,disk,300,5 minutes,MY DAD SAYS HIS AUNT AND UNCLE SAW THIS CRAFT IN 1944 OR 1945 DURING THE DAY IT HOVERED OVER THEM FOR ABOUT 5 MINUTES IN THE AREA OF BU,01/17/2004,33.6602778,-117.9983333
07-10-1945 01:30,portsmouth,va,us,formation,180,3 min,1945  RED  FLICKERING  V FORMATION  CRAFTS  MOVING  EXTREEML  FAST .,11/26/2003,36.8352778,-76.2986111
02-01-1946 17:00,merced,ca,us,sphere,10,10 seconds,Three luminescent chartreusse spheres moving &quot;in trail&quot; in a wide arc (34 mi) across the Valley sky.,10/11/2005,37.3022222,-120.4819444
07-01-1946 13:30,south portland,me,us,oval,10,10 seconds +/-,motionless&#44 dark oblong&#44 noon sky over ocean&#44 felt Energy-Pull of Observing craft; when spotted&#44accelerated straight upwards fast,06/12/2008,43.6413889,-70.2413889
01-08-1946 02:00,new york city (brooklyn),ny,us,disk,300,5 min,Huge round silver disk hovering over neighbors house&#44 writing on disk and roaring fire from disk,03/04/2008,40.7141667,-74.0063889
